Image_ID,Cluster,Distance
B07633JY7M.png,1,0.3318428695201874
"B07633JY7Mthunderstorm, raindrops.png",1,0.3118898272514343
"B07633JY7Mraindrops, fireplace.png",1,0.2977781891822815
B07633JY7Mthunderstorm.png,1,0.2921446859836578
"B07633JY7Mraindrops, ocean.png",1,0.2898986339569092
B07633JY7Mraindrops.png,1,0.2825635969638824
"B07633JY7Mthunderstorm, lotus flower.png",1,0.2792321741580963
"B07633JY7Mthunderstorm, ocean.png",1,0.2740038335323334
B0BCDV134Tmicrophone.png,0,0.2667295634746551
"B083LSCTBGvoice waveform, pattern.png",0,0.2651585340499878
"B07633JY7Mthunderstorm, fireplace.png",0,0.2651253044605255
"B0BCDV134Theadphones, group of people.png",0,0.2644381523132324
"B0BCDV134Theadphones, speech bubble.png",0,0.2642890512943268
"B07633JY7Mraindrops, lotus flower.png",0,0.2641986608505249
"B0BCDV134Tmicrophone, musical note.png",0,0.2634574174880981
B0BCDV134Tmusical note.png,0,0.2622406780719757
"B0BCDV134Tmusical note, headphones.png",0,0.2594128251075744
B0B92GJ9NZcheckmark.png,0,0.2589140832424164
"B07633JY7Mocean, fireplace.png",0,0.2586013674736023
"B083LSCTBGsmart home device, Alexa logo.png",0,0.2582462430000305
"B0B6WQ16Z3star, speech bubble.png",0,0.2575323581695556
"B0BCDV134Tmicrophone, headphones.png",0,0.2564046382904053
"B0B6WQ16Z3child, speech bubble.png",0,0.255129724740982
B0BCDV134Theadphones.png,0,0.2538201808929443
"B0B92GJ9NZcheckmark, graph.png",0,0.252149760723114
"B0BCDV134Tmicrophone, speech bubble.png",0,0.2510928213596344
B083LSCTBGAlexa logo.png,0,0.2509418725967407
B0B6WQ16Z3child.png,0,0.2506269812583923
"B0BCDV134Tmusical note, group of people.png",0,0.2503383755683899
"B0B92GJ9NZgraph, brain.png",0,0.2489425837993621
"B0B6WQ16Z3child, star.png",0,0.2485214918851852
B083LSCTBGsmart home device.png,0,0.2480268478393554
B083LSCTBGvoice waveform.png,0,0.2464130222797393
"B0B6WQ16Z3speech bubble, light bulb.png",0,0.2457502782344818
"B083LSCTBGvoice waveform, geometric shape.png",0,0.2452861219644546
"B0BCDV134Tmusical note, speech bubble.png",0,0.2439234852790832
B07633JY7Mfireplace.png,0,0.2438142299652099
"B0B92GJ9NZpencil, graph.png",0,0.2430377900600433
"B0BCDV134Tmicrophone, group of people.png",0,0.242907240986824
"B083LSCTBGvoice waveform, Alexa logo.png",0,0.2426779568195343
B0BCDV134T.png,0,0.242265522480011
B07633JY7Mocean.png,0,0.24161396920681
"B083LSCTBGsmart home device, voice waveform.png",0,0.2408894747495651
"B0B92GJ9NZpencil, checkmark.png",0,0.240518644452095
"B07633JY7Mocean, lotus flower.png",0,0.2404930293560028
"B0B6WQ16Z3child, light bulb.png",0,0.2403475642204284
"B0B6WQ16Z3child, book.png",0,0.2403305470943451
"B0B92GJ9NZlight bulb, checkmark.png",0,0.239629864692688
B0BCDV134Tspeech bubble.png,0,0.2394597232341766
B0B6WQ16Z3speech bubble.png,0,0.2388331294059753
B0B92GJ9NZpencil.png,0,0.2379285097122192
"B0B92GJ9NZlight bulb, pencil.png",2,0.2359589487314224
"B0B92GJ9NZcheckmark, brain.png",2,0.2357271164655685
B0B92GJ9NZgraph.png,2,0.2346676737070083
B0B6WQ16Z3light bulb.png,2,0.2345600426197052
"B083LSCTBGsmart home device, pattern.png",2,0.232503205537796
"B0BCDV134Tspeech bubble, group of people.png",2,0.2324413359165191
B0B92GJ9NZlight bulb.png,2,0.2319246977567672
"B083LSCTBGsmart home device, geometric shape.png",2,0.2318750917911529
"B0B6WQ16Z3book, speech bubble.png",2,0.2315668612718582
B083LSCTBG.png,2,0.2312663495540619
"B0B6WQ16Z3star, book.png",2,0.2312283813953399
"B0B6WQ16Z3star, light bulb.png",2,0.2300555109977722
"B0B92GJ9NZlight bulb, brain.png",2,0.2299131453037262
"B0B92GJ9NZpencil, brain.png",2,0.2289091050624847
"B0B92GJ9NZlight bulb, graph.png",2,0.227016344666481
"B0B6WQ16Z3book, light bulb.png",2,0.2269279956817627
"B083LSCTBGgeometric shape, pattern.png",2,0.2267330586910247
B0B6WQ16Z3star.png,2,0.2250832617282867
"B083LSCTBGAlexa logo, pattern.png",2,0.2248173058032989
"B083LSCTBGgeometric shape, Alexa logo.png",2,0.2237092107534408
B0B6WQ16Z3book.png,2,0.2223773449659347
"B07633JY7Mfireplace, lotus flower.png",2,0.2207204848527908
B0B92GJ9NZbrain.png,2,0.2206466645002365
B07633JY7Mlotus flower.png,2,0.2183849066495895
B083LSCTBGpattern.png,2,0.2163376361131668
B0BCDV134Tgroup of people.png,2,0.2132305949926376
B0B92GJ9NZ.png,2,0.1987652033567428
B083LSCTBGgeometric shape.png,2,0.1968029886484146
B0B6WQ16Z3.png,2,0.1940848678350448
