StartDate,B1,B2,B3,B4,B5,B6,D1,D2
Start Date,B1. Here is the app icon along with its own description. Do you think the design of the icon accurately reflects its functionality?,B2. Here is the app icon along with its own description. Do you think the design of the icon accurately reflects its functionality?,B3. Here is the app icon along with its own description. Do you think the design of the icon accurately reflects its functionality?,B4. Here is the app icon along with its own description. Do you think the design of the icon accurately reflects its functionality?,B5. Here is the app icon along with its own description. Do you think the design of the icon accurately reflects its functionality?,B6. Here is the app icon along with its own description. Do you think the design of the icon accurately reflects its functionality?,D1. Below are three Alexa skills with the same descriptions but different icons. Which one would you prefer to download?,D2. Below are three Alexa skills with the same descriptions but different icons. Which one would you prefer to download?
2024-10-23 09:22:02,3,1,3,2,3,1,B3,B4
2024-10-23 22:41:27,3,1,1,3,3,1,B3,B5
2024-10-23 22:49:37,3,1,3,3,3,1,B1,B4
2024-10-24 00:18:03,2,1,3,3,3,1,B3,B5
2024-10-24 00:05:37,3,1,2,2,3,2,B1,B5
2024-10-24 01:33:44,3,1,1,2,3,2,B1,B5
2024-10-24 01:54:32,3,1,1,1,3,1,B2,B4
2024-10-24 02:50:59,2,1,2,3,3,1,B3,B4
2024-10-24 04:55:00,3,1,1,1,3,1,B1,B5
2024-10-24 01:35:05,3,3,3,3,2,2,B1,B4
2024-10-27 22:00:31,2,1,1,2,3,2,B1,B5
2024-10-27 22:00:41,2,1,3,2,3,2,B1,B5
2024-10-27 22:00:24,3,1,2,2,3,2,B1,B5
2024-10-27 22:23:02,2,2,2,2,2,2,B1,B4
2024-10-27 22:20:34,3,1,2,2,3,1,B1,B5
2024-10-27 23:18:07,3,2,2,2,3,3,B1,B5
2024-10-27 23:30:44,2,2,1,2,3,2,B1,B5
2024-10-27 23:29:32,3,1,1,3,3,1,B1,B5
2024-10-27 23:29:46,3,1,2,2,3,2,B3,B5
2024-10-27 23:43:00,3,1,3,1,3,2,B1,B5
2024-10-27 23:42:51,3,1,3,1,3,1,B1,B5
2024-10-27 23:37:48,3,1,2,1,3,1,B1,B5
2024-10-27 23:46:31,3,1,3,2,3,2,B1,B5
2024-10-27 21:49:34,3,1,2,1,3,1,B1,B5
2024-10-28 00:17:36,2,2,2,2,2,2,B1,B4
2024-10-28 00:27:38,3,1,1,2,3,1,B1,B5
2024-10-28 00:30:51,2,1,3,2,2,2,B3,B4
2024-10-28 01:37:44,3,1,2,3,3,1,B1,B5
2024-10-28 02:29:39,2,1,2,2,3,2,B3,B5
2024-10-23 22:41:05,3,1,1,3,2,3,B2,B4
2024-10-27 22:09:48,2,2,2,2,2,2,B2,B5
2024-10-28 20:55:30,3,2,2,2,3,1,B1,B5
2024-10-28 21:54:56,3,1,3,1,3,1,B1,B5
2024-10-28 22:26:11,3,1,2,1,3,2,B1,B5
2024-10-30 21:13:03,3,1,3,2,3,2,B1,B5
2024-10-30 22:04:47,3,1,2,1,3,1,B1,B5
2024-10-30 22:22:51,3,1,2,1,3,1,B1,B5
2024-10-30 22:31:54,2,1,2,1,3,1,B1,B5
2024-10-30 23:17:04,3,2,3,1,3,2,B1,B5
2024-10-30 21:59:05,3,1,1,2,3,2,B1,B5
2024-10-31 00:01:10,3,1,2,1,3,1,B1,B5
2024-10-24 00:44:23,3,1,2,2,3,1,B1,B5
2024-10-31 22:25:48,3,1,2,2,2,3,B1,B5
2024-10-31 22:28:02,2,1,2,1,2,1,B2,B5
2024-10-31 22:31:06,3,1,2,3,2,1,B3,B5
